1000; 2.86602; 1.74967; 1.10771
1001; 3.42957; 1.81381; 1.07668
1002; 2.90208; 1.86037; 1.09741
1003; 3.41126; 1.77468; 1.09265
1004; 2.66606; 1.69303; 1.08757
1005; 3.46877; 1.8742; 1.09808
1006; 2.86641; 1.83448; 1.1222
1007; 3.41905; 1.82524; 1.10398
1008; 2.81447; 1.70875; 1.09539
1009; 3.46549; 1.85318; 1.10093
1010; 3.00302; 1.87673; 1.12776
1011; 3.49189; 1.82364; 1.11498
1012; 2.7383; 1.73762; 1.12092
1013; 3.51637; 1.85469; 1.12678
1014; 2.94191; 1.88035; 1.13147
1015; 3.52342; 1.88012; 1.13664
1016; 2.89598; 1.69201; 1.13823
1017; 3.4936; 1.88514; 1.13721
1018; 2.87219; 1.88322; 1.12708
1019; 3.59003; 1.91038; 1.14891
1020; 2.93956; 1.78091; 1.1528
1021; 3.58787; 1.92364; 1.15787
1022; 2.91988; 1.92132; 1.14956
1023; 3.56; 1.84702; 1.16996
1024; 13.7212; 2.01073; 1.18471
1025; 3.58122; 1.88678; 1.17686
1026; 3.02847; 1.96453; 1.1808
1027; 3.63636; 1.93776; 1.17237
1028; 2.97392; 1.83213; 1.17717
1029; 3.66992; 1.95601; 1.17678
1030; 4.11228; 2.05009; 1.19404
1031; 3.65158; 1.98269; 1.1768
1032; 2.99722; 1.85378; 1.1941
1033; 3.66151; 1.98437; 1.18453
1034; 3.0006; 2.04248; 1.18732
1035; 3.70158; 1.9546; 1.19267
1036; 3.04703; 1.86403; 1.20497
1037; 3.88505; 1.99548; 1.20094
1038; 3.12315; 2.05764; 1.2252
1039; 3.92151; 1.99639; 1.21812
1040; 3.20657; 1.89424; 1.22475
1041; 3.7865; 2.03397; 1.20762
1042; 3.07049; 2.04629; 1.22796
1043; 3.86436; 1.98807; 1.21375
1044; 3.01662; 1.92162; 1.20689
1045; 3.82691; 2.04572; 1.22589
1046; 3.21869; 2.05893; 1.25986
1047; 3.98993; 2.06504; 1.24107
1048; 3.11942; 1.94608; 1.24501
1049; 3.96587; 2.08369; 1.27001
1050; 3.28896; 2.07927; 1.24248
1051; 4.03864; 2.05361; 1.24582
1052; 3.22758; 1.96981; 1.25097
1053; 4.01487; 2.08062; 1.2611
1054; 3.27624; 2.10333; 1.24316
1055; 4.03989; 2.0866; 1.25137
1056; 3.85866; 1.91289; 1.27497
1057; 4.08438; 2.12679; 1.28805
1058; 3.50727; 2.18436; 1.28939
1059; 4.02874; 2.07589; 1.30285
1060; 3.10521; 2.046; 1.29611
1061; 4.10111; 2.13581; 1.2979
1062; 3.42684; 2.29441; 1.30614
1063; 4.26622; 2.14899; 1.31229
1064; 3.23237; 1.9367; 1.30208
1065; 4.38987; 2.22782; 1.31283
1066; 3.49958; 2.25271; 1.30302
1067; 4.17257; 2.12597; 1.30424
1068; 3.2868; 2.06706; 1.32422
1069; 4.28227; 2.2191; 1.32334
1070; 3.59243; 2.21821; 1.31719
1071; 4.51814; 2.24938; 1.32149
1072; 3.33704; 1.98178; 1.34142
1073; 4.44942; 2.24389; 1.33044
1074; 3.50906; 2.27227; 1.34463
1075; 4.38017; 2.17977; 1.35171
1076; 3.28367; 2.17794; 1.34191
